level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	32	2	2	2	838	350	21	104	0.000000	UORefeY
5	1	32	2	2	3	838	458	24	129	0.000000	/aul|poolg
5	1	32	2	2	4	827	731	37	93	9.519119	Ssaunes
5	1	32	2	2	5	827	940	34	46	0.000000	x3g
5	1	32	2	2	6	834	1050	21	103	0.000000	paypjzeH
5	1	32	2	2	7	834	1161	21	59	12.525253	23eq
5	1	32	2	2	8	836	1304	20	100	0.000000	J+0qUWIAN
5	1	32	2	2	9	836	1412	20	31	81.979652	GT
5	1	32	2	2	10	836	1452	20	48	26.208344	Pulg
5	1	32	2	2	11	833	1570	18	16	90.614410	#
3	1	32	3	0	0	685	163	130	1427	-1	
4	1	32	3	1	0	789	163	26	1395	-1	
5	1	32	3	1	1	793	163	22	88	39.739075	(Papesu
5	1	32	3	1	2	793	254	17	16	78.011032	yt
5	1	32	3	1	3	794	275	21	64	2.655430	sardo?
5	1	32	3	1	4	793	344	18	98	22.350140	jeuogippe
5	1	32	3	1	5	793	448	18	54	70.278297	ayeut
5	1	32	3	1	6	797	508	17	45	52.434429	Agu
5	1	32	3	1	7	792	558	21	47	59.150597	nox)
5	1	32	3	1	8	796	622	17	90	23.362665	weiGod
5	1	32	3	1	9	792	717	17	32	82.686943	ayy
5	1	32	3	1	10	792	757	17	37	0.000000	ojut
5	1	32	3	1	11	792	801	21	104	0.000000	6up1935/831
5	1	32	3	1	12	796	911	13	34	62.584892	318
5	1	32	3	1	13	796	951	17	37	93.270905	NOK
5	1	32	3	1	14	792	993	20	72	0.000000	SaHI3US
5	1	32	3	1	15	791	1072	18	32	2.503500	d4f}
5	1	32	3	1	16	790	1106	19	24	47.818546	JO
5	1	32	3	1	17	790	1134	19	41	33.410473	PUG
5	1	32	3	1	18	790	1181	18	47	0.000000	YILD
5	1	32	3	1	19	790	1233	18	29	0.000000	Oj
5	1	32	3	1	20	790	1268	18	49	11.497841	GET
5	1	32	3	1	21	790	1324	18	58	17.249451	MOJHG
5	1	32	3	1	22	790	1387	18	33	8.816566	FY}
5	1	32	3	1	23	792	1427	16	32	82.596062	IO
5	1	32	3	1	24	789	1466	19	22	44.718597	[fy
5	1	32	3	1	25	790	1495	18	63	2.906084	BCI
4	1	32	3	2	0	746	658	27	932	-1	
5	1	32	3	2	1	749	658	20	70	6.615524	rawen
5	1	32	3	2	2	749	738	20	52	38.488369	ue]
5	1	32	3	2	3	749	801	24	81	0.000000	saideds
5	1	32	3	2	4	748	1324	19	68	23.616943	TBWWEN
5	1	32	3	2	5	746	1403	21	97	14.598475	UOWWUOD
5	1	32	3	2	6	746	1508	25	82	0.000000	saads
4	1	32	3	3	0	685	1234	28	356	-1	
5	1	32	3	3	1	686	1234	23	177	11.129227	sUORHRUOUT
5	1	32	3	3	2	685	1420	28	106	0.000000	Saads
5	1	32	3	3	3	685	1535	23	55	0.000000	pig
3	1	32	4	0	0	665	89	11	14	-1	
4	1	32	4	1	0	665	89	11	14	-1	
5	1	32	4	1	1	665	89	11	14	0.000000	~
2	1	33	0	0	0	872	1615	458	22	-1	
3	1	33	1	0	0	872	1615	458	22	-1	
4	1	33	1	1	0	872	1615	458	22	-1	
5	1	33	1	1	1	872	1615	50	15	96.027084	NESS
5	1	33	1	1	2	928	1615	51	16	86.853363	Finch
5	1	33	1	1	3	985	1615	35	16	93.094551	and
5	1	33	1	1	4	1024	1615	65	20	48.799431	Safthill
5	1	33	1	1	5	1093	1615	43	16	67.554222	Save
5	1	33	1	1	6	1142	1615	79	20	93.911041	Program
5	1	33	1	1	7	1226	1615	104	22	93.584473	Application
